FT,Pont,DAPm,DAPcm,HCm,HTm,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,VOLUME
Low,1,1.234,123.4,11,14,1.282,1.272,1.246,1.27,1.234,1.262,1.242,1.152,1.19,1.08,1.069,13.44797989
Low,1,0.612,61.2,8,9.8,0.673,0.581,0.591,0.601,0.572,0.582,0.548,0.531,0.529,0.511,0.44,2.128061406
Low,1,0.734,73.4,6,10.1,1.073,0.739,0.821,0.681,0.502,0.511,0.509,0.462,0.478,0.539,0.641,2.141949556
Low,1,0.314,31.4,9,11,0.307,0.34,0.282,0.24,0.211,0.192,0.214,0.201,0.171,0.161,0.171,0.413044805
Low,1,0.565,56.5,10,15,0.331,0.341,0.32,0.325,0.35,0.387,0.375,0.384,0.387,0.391,0.39,1.078289012
Low,1,0.587,58.7,8,11,0.672,0.521,0.565,0.512,0.443,0.467,0.482,0.516,0.407,0.465,0.423,1.689332882
Low,1,0.782,78.2,10.2,14,0.778,0.7,0.731,0.64,0.631,0.66,0.54,0.75,0.571,0.55,0.49,3.585516672
Low,1,0.247,24.7,12,17,0.281,0.223,0.213,0.201,0.192,0.181,0.17,0.18,0.16,0.141,0.12,0.375169244
Low,1,0.8,80,7,9.7,0.71,0.78,0.72,0.641,0.645,0.66,0.615,0.6,0.586,0.59,0.612,2.479727162
Low,1,0.325,32.5,9,11,0.47,0.271,0.26,0.22,0.213,0.23,0.22,0.233,0.21,0.207,0.141,0.500590123
Low,1,0.421,42.1,8,13,0.68,0.37,0.361,0.364,0.35,0.324,0.312,0.3,0.283,0.27,0.26,0.91968832
Low,1,0.552,55.2,9,17,0.64,0.515,0.51,0.46,0.443,0.392,0.41,0.385,0.36,0.352,0.331,1.499283636
Low,1,0.436,43.6,7,9,0.555,0.41,0.38,0.365,0.371,0.4,0.367,0.371,0.352,0.413,0.477,0.952196144
Low,1,0.173,17.3,5,8,0.25,0.18,0.166,0.171,0.18,0.162,0.153,0.17,0.157,0.148,0.149,0.125783184
Low,1,0.338,33.8,5,8.5,0.323,0.313,0.381,0.314,0.32,0.283,0.317,0.28,0.309,0.324,0.251,0.408168649
Low,1,1.152,115.2,7,13,3,1.094,0.899,0.84,0.822,0.846,0.831,0.87,0.891,0.852,0.181,8.843576079
Low,1,0.552,55.2,10,16,0.65,0.53,0.384,0.441,0.45,0.449,0.47,0.521,0.461,0.445,0.338,1.892379674
Low,1,0.422,42.2,6,10,0.415,0.35,0.351,0.335,0.363,0.374,0.38,0.351,0.3,0.363,0.344,0.636331394
Low,1,0.77,77,7,10,0.644,0.632,0.591,0.6,0.64,0.46,0.432,0.438,0.564,0.412,0.366,1.692182706
Low,1,0.372,37.2,5,9,0.39,0.368,0.381,0.41,0.371,0.34,0.423,0.303,0.405,0.363,0.335,0.579888505
Low,1,0.235,23.5,6,8,0.362,0.24,0.23,0.241,0.26,0.242,0.224,0.245,0.215,0.212,0.265,0.312088822
Low,1,0.77,77,10,14,0.923,0.776,0.84,0.813,0.95,1.07,0.996,0.974,0.954,0.922,1.01,7.130659166
Low,1,0.44,44,11,16,0.583,0.322,0.303,0.291,0.282,0.276,0.283,0.27,0.29,0.272,0.242,0.964258985
Low,1,0.777,77.7,9,13,1.18,0.721,0.698,0.7,0.661,0.628,0.632,0.6,0.612,0.628,0.599,3.837191277
Low,1,0.422,42.2,8,19.7,0.924,0.395,0.364,0.355,0.347,0.335,0.328,0.343,0.335,0.327,0.315,1.25347044
Low,1,0.493,49.3,20.1,22,0.81,0.441,0.436,0.431,0.461,0.532,0.386,0.393,0.342,0.337,0.371,3.670025614
Low,1,0.41,41,11,23,0.965,0.383,0.341,0.367,0.341,0.363,0.324,0.304,0.265,0.268,0.251,1.682847559
Low,1,0.573,57.3,13,19,1.152,0.521,0.508,0.525,0.449,0.468,0.446,0.417,0.453,0.382,0.342,3.405386565
Low,1,0.392,39.2,14,20,0.994,0.431,0.393,0.353,0.324,0.283,0.308,0.334,0.322,0.241,0.273,2.246807367
Low,1,0.503,50.3,10,15,0.863,0.394,0.451,0.381,0.368,0.381,0.395,0.373,0.361,0.43,0.341,1.726048055
Low,1,0.364,36.4,10,11,0.645,0.333,0.322,0.312,0.3,0.284,0.279,0.268,0.254,0.241,0.227,0.939828882
Low,1,0.215,21.5,7,9,0.468,0.228,0.21,0.18,0.176,0.164,0.153,0.142,0.173,0.191,0.163,0.290639823
Low,1,0.436,43.6,10,13,0.77,0.38,0.348,0.325,0.297,0.271,0.241,0.222,0.219,0.223,0.273,1.074426022
Low,1,0.157,15.7,9,11,0.372,0.147,0.139,0.126,0.121,0.116,0.1,0.113,0.101,0.092,0.111,0.191475297
Low,1,0.319,31.9,11,16,0.64,0.324,0.319,0.313,0.305,0.291,0.287,0.273,0.254,0.248,0.221,1.036166871
Low,1,0.339,33.9,11,15,0.625,0.33,0.337,0.221,0.315,0.299,0.288,0.281,0.265,0.238,0.219,1.005034793
Low,1,0.59,59,10,15,0.86,0.566,0.528,0.519,0.464,0.422,0.438,0.381,0.359,0.34,0.422,2.098595869
Low,1,0.313,31.3,7.5,11,0.376,0.293,0.282,0.264,0.246,0.259,0.254,0.339,0.214,0.223,0.211,0.471984854
Low,1,0.277,27.7,4,6,0.38,0.224,0.215,0.221,0.273,0.288,0.262,0.244,0.212,0.163,0.151,0.206782782
Low,1,0.299,29.9,3.7,6,0.3,0.262,0.272,0.245,0.331,0.228,0.269,0.244,0.232,0.217,0.222,0.206804067
